username,ip_address,mac_address,bytes_sent,bytes_recv
user1,127.0.0.1,23:8f:3d:f4:d3:4d,1530029195,3571618203
user2,127.0.0.1,23:8f:3d:f4:d3:4d,1533110131,3572441829
